,Network 1,Network 2,Mean Coeff,σ Coeff
R_p24pr-L_V3B,Cingulo-Opercular,Visual2,-0.0,0.0
R_MI-R_VMV3,Cingulo-Opercular,Visual2,0.0,0.0
L_p24pr-L_FST,Cingulo-Opercular,Visual2,0.0,0.0
L_p32pr-L_LO3,Cingulo-Opercular,Visual2,0.0,0.0
L_a24pr-L_VMV3,Cingulo-Opercular,Visual2,-0.0,0.0
L_33pr-L_FST,Cingulo-Opercular,Visual2,0.0,0.0
R_FOP3-R_VMV3,Cingulo-Opercular,Visual2,-0.0,0.0
R_FOP5-L_V8,Cingulo-Opercular,Visual2,0.0,0.0
L_46-DIENCEPHALON_VENTRAL_LEFT,Cingulo-Opercular,subcortex,0.05,0.04
R_46-PUTAMEN_RIGHT,Cingulo-Opercular,subcortex,-0.03,0.03
L_p24pr-PUTAMEN_RIGHT,Cingulo-Opercular,subcortex,-0.02,0.04
L_43-PUTAMEN_LEFT,Cingulo-Opercular,subcortex,0.02,0.02
L_p32pr-L_9-46d,Cingulo-Opercular,subcortex,-0.01,0.02
L_33pr-L_a9-46v,Cingulo-Opercular,subcortex,-0.01,0.01
L_a24pr-L_9-46d,Cingulo-Opercular,subcortex,-0.01,0.01
R_23c-AMYGDALA_LEFT,Cingulo-Opercular,subcortex,-0.01,0.01
L_33pr-L_9-46d,Cingulo-Opercular,subcortex,-0.01,0.01
L_PF-PALLIDUM_RIGHT,Cingulo-Opercular,subcortex,0.01,0.01
R_46-R_a9-46v,Cingulo-Opercular,subcortex,-0.0,0.01
L_a24pr-PALLIDUM_LEFT,Cingulo-Opercular,subcortex,-0.0,0.01
R_PSL-PALLIDUM_LEFT,Cingulo-Opercular,subcortex,0.0,0.01
R_PFop-PUTAMEN_RIGHT,Cingulo-Opercular,subcortex,0.0,0.01
L_a24pr-BRAIN_STEM,Cingulo-Opercular,subcortex,0.0,0.01
L_p24pr-AMYGDALA_RIGHT,Cingulo-Opercular,subcortex,-0.0,0.01
L_33pr-PUTAMEN_RIGHT,Cingulo-Opercular,subcortex,-0.0,0.01
L_p32pr-PUTAMEN_RIGHT,Cingulo-Opercular,subcortex,-0.0,0.01
R_IFSa-R_p9-46v,Cingulo-Opercular,subcortex,-0.0,0.01
R_PFop-PALLIDUM_LEFT,Cingulo-Opercular,subcortex,0.0,0.0
L_PF-AMYGDALA_LEFT,Cingulo-Opercular,subcortex,0.0,0.0
L_PF-PALLIDUM_LEFT,Cingulo-Opercular,subcortex,-0.0,0.01
R_PFcm-PUTAMEN_RIGHT,Cingulo-Opercular,subcortex,-0.0,0.0
R_PSL-AMYGDALA_LEFT,Cingulo-Opercular,subcortex,-0.0,0.0
L_PFop-AMYGDALA_LEFT,Cingulo-Opercular,subcortex,0.0,0.0
L_a24pr-CEREBELLUM_LEFT,Cingulo-Opercular,subcortex,-0.0,0.0
L_p32pr-BRAIN_STEM,Cingulo-Opercular,subcortex,0.0,0.0
L_p32pr-CEREBELLUM_LEFT,Cingulo-Opercular,subcortex,-0.0,0.0
L_PFop-PALLIDUM_LEFT,Cingulo-Opercular,subcortex,-0.0,0.01
L_FEF-L_s6-8,Cingulo-Opercular,subcortex,-0.0,0.0
L_p32pr-AMYGDALA_RIGHT,Cingulo-Opercular,subcortex,-0.0,0.0
L_p24pr-L_9-46d,Cingulo-Opercular,subcortex,-0.0,0.0
L_a24pr-PUTAMEN_RIGHT,Cingulo-Opercular,subcortex,-0.0,0.0
L_33pr-AMYGDALA_RIGHT,Cingulo-Opercular,subcortex,-0.0,0.0
L_a24pr-AMYGDALA_RIGHT,Cingulo-Opercular,subcortex,-0.0,0.0
L_PFcm-AMYGDALA_LEFT,Cingulo-Opercular,subcortex,0.0,0.0
L_PFop-AMYGDALA_RIGHT,Cingulo-Opercular,subcortex,-0.0,0.0
R_IFSa-R_9-46d,Cingulo-Opercular,subcortex,0.0,0.0
L_a32pr-BRAIN_STEM,Cingulo-Opercular,subcortex,0.0,0.0
L_FEF-L_i6-8,Cingulo-Opercular,subcortex,0.0,0.0
L_PF-AMYGDALA_RIGHT,Cingulo-Opercular,subcortex,-0.0,0.0
R_PFop-AMYGDALA_LEFT,Cingulo-Opercular,subcortex,-0.0,0.0
R_PFop-AMYGDALA_RIGHT,Cingulo-Opercular,subcortex,0.0,0.0
R_PSL-PUTAMEN_RIGHT,Cingulo-Opercular,subcortex,0.0,0.0
R_TE1a-L_RI,Default,Auditory,0.06,0.05
R_STSda-L_RI,Default,Auditory,0.06,0.06
R_s32-L_A4,Default,Auditory,0.04,0.12
R_TE1a-L_52,Default,Auditory,0.04,0.06
L_47m-L_A4,Default,Auditory,0.0,0.0
L_47s-L_A4,Default,Auditory,0.0,0.0
R_TE2a-L_PI,Default,Cingulo-Opercular,0.15,0.13
R_STSvp-L_a24pr,Default,Cingulo-Opercular,-0.06,0.06
R_47l-R_FOP5,Default,Cingulo-Opercular,0.06,0.1
L_47m-L_FOP1,Default,Cingulo-Opercular,0.05,0.06
R_s32-L_FOP4,Default,Cingulo-Opercular,0.05,0.06
R_s32-L_FOP3,Default,Cingulo-Opercular,0.04,0.04
R_STSvp-L_p24pr,Default,Cingulo-Opercular,-0.04,0.04
L_31pv-L_PFop,Default,Cingulo-Opercular,0.04,0.06
R_23d-L_7Am,Default,Cingulo-Opercular,0.04,0.06
R_STSda-R_PFop,Default,Cingulo-Opercular,0.04,0.04
R_a24-R_46,Default,Cingulo-Opercular,-0.04,0.1
L_47m-L_43,Default,Cingulo-Opercular,0.04,0.06
R_s32-L_FOP5,Default,Cingulo-Opercular,0.03,0.04
L_47l-L_PF,Default,Cingulo-Opercular,-0.03,0.08
R_25-L_p32pr,Default,Cingulo-Opercular,0.03,0.04
R_STSda-L_p24pr,Default,Cingulo-Opercular,-0.03,0.05
L_TGd-L_PFop,Default,Cingulo-Opercular,0.03,0.04
R_47l-R_MI,Default,Cingulo-Opercular,0.02,0.03
R_TE1a-R_FOP5,Default,Cingulo-Opercular,0.02,0.03
R_8BL-R_FOP5,Default,Cingulo-Opercular,-0.02,0.03
L_EC-L_PFop,Default,Cingulo-Opercular,0.02,0.04
R_PGi-L_FOP4,Default,Cingulo-Opercular,-0.02,0.04
L_d23ab-L_43,Default,Cingulo-Opercular,0.02,0.03
R_47l-R_FOP4,Default,Cingulo-Opercular,0.02,0.03
R_47s-R_MI,Default,Cingulo-Opercular,0.02,0.02
R_10v-L_PFcm,Default,Cingulo-Opercular,-0.01,0.02
L_47s-L_PFop,Default,Cingulo-Opercular,0.01,0.02
R_STSvp-L_FOP4,Default,Cingulo-Opercular,-0.01,0.02
R_STSvp-R_PFop,Default,Cingulo-Opercular,0.01,0.03
R_25-L_a24pr,Default,Cingulo-Opercular,0.01,0.02
R_s32-R_FOP5,Default,Cingulo-Opercular,-0.01,0.02
R_STSvp-L_p32pr,Default,Cingulo-Opercular,-0.01,0.01
R_9p-R_MI,Default,Cingulo-Opercular,-0.01,0.02
R_9p-R_FOP5,Default,Cingulo-Opercular,-0.01,0.01
R_10d-L_p32pr,Default,Cingulo-Opercular,-0.01,0.02
R_47s-R_FOP4,Default,Cingulo-Opercular,0.01,0.01
R_STSda-L_a24pr,Default,Cingulo-Opercular,-0.01,0.02
R_10v-L_PFop,Default,Cingulo-Opercular,-0.01,0.01
R_9p-R_FOP4,Default,Cingulo-Opercular,-0.01,0.02
L_47s-L_43,Default,Cingulo-Opercular,0.01,0.01
R_EC-L_FOP3,Default,Cingulo-Opercular,-0.01,0.01
R_p32-L_PFop,Default,Cingulo-Opercular,-0.01,0.01
R_PGs-R_FOP5,Default,Cingulo-Opercular,-0.01,0.02
R_47m-R_46,Default,Cingulo-Opercular,-0.01,0.01
R_47m-R_PFcm,Default,Cingulo-Opercular,-0.01,0.02
R_v23ab-L_MI,Default,Cingulo-Opercular,0.01,0.02
R_STSva-L_p24pr,Default,Cingulo-Opercular,-0.01,0.01
R_STSvp-L_FOP5,Default,Cingulo-Opercular,-0.01,0.01
L_7m-L_a32pr,Default,Cingulo-Opercular,-0.01,0.01
R_10v-L_a24pr,Default,Cingulo-Opercular,-0.01,0.01
R_STSvp-R_FOP5,Default,Cingulo-Opercular,0.01,0.01
R_s32-L_MI,Default,Cingulo-Opercular,0.01,0.01
R_v23ab-L_p32pr,Default,Cingulo-Opercular,0.01,0.02
R_47s-R_43,Default,Cingulo-Opercular,0.01,0.01
L_PGi-L_a32pr,Default,Cingulo-Opercular,-0.01,0.01
R_STSda-R_FOP5,Default,Cingulo-Opercular,0.01,0.01
R_10v-L_p32pr,Default,Cingulo-Opercular,-0.01,0.01
R_10d-L_a24pr,Default,Cingulo-Opercular,-0.01,0.01
R_STSda-L_FOP4,Default,Cingulo-Opercular,-0.0,0.01
R_47l-R_46,Default,Cingulo-Opercular,-0.0,0.01
R_47m-R_43,Default,Cingulo-Opercular,0.0,0.01
R_s32-R_PI,Default,Cingulo-Opercular,-0.0,0.01
L_47m-L_FOP4,Default,Cingulo-Opercular,0.0,0.01
R_47s-L_FOP4,Default,Cingulo-Opercular,0.0,0.01
R_POS1-L_PFop,Default,Cingulo-Opercular,0.0,0.01
R_TGd-L_p32pr,Default,Cingulo-Opercular,-0.0,0.01
R_TE1a-L_a24pr,Default,Cingulo-Opercular,-0.0,0.01
L_POS1-L_a24pr,Default,Cingulo-Opercular,0.0,0.01
R_47m-R_FOP1,Default,Cingulo-Opercular,0.0,0.01
L_47m-L_6r,Default,Cingulo-Opercular,0.0,0.01
L_47m-L_PFop,Default,Cingulo-Opercular,0.0,0.01
R_s32-L_6ma,Default,Cingulo-Opercular,-0.0,0.01
R_TGd-L_a24pr,Default,Cingulo-Opercular,-0.0,0.01
R_STSda-L_PFop,Default,Cingulo-Opercular,-0.0,0.01
R_47l-L_p24pr,Default,Cingulo-Opercular,-0.0,0.01
R_31pv-R_FOP5,Default,Cingulo-Opercular,0.0,0.01
R_47l-R_FOP1,Default,Cingulo-Opercular,0.0,0.01
R_47s-R_FOP1,Default,Cingulo-Opercular,0.0,0.0
L_47m-L_FOP3,Default,Cingulo-Opercular,0.0,0.01
R_PGi-L_FOP5,Default,Cingulo-Opercular,-0.0,0.01
L_PGs-L_FOP5,Default,Cingulo-Opercular,-0.0,0.01
R_7m-L_p32pr,Default,Cingulo-Opercular,0.0,0.01
L_47s-L_PFcm,Default,Cingulo-Opercular,0.0,0.01
R_47m-R_PFop,Default,Cingulo-Opercular,0.0,0.01
R_EC-L_a24pr,Default,Cingulo-Opercular,-0.0,0.01
R_47l-L_PFop,Default,Cingulo-Opercular,0.0,0.0
L_v23ab-L_a24pr,Default,Cingulo-Opercular,0.0,0.0
R_a24-L_PFop,Default,Cingulo-Opercular,-0.0,0.01
R_47s-R_FOP3,Default,Cingulo-Opercular,0.0,0.01
R_47l-R_PFcm,Default,Cingulo-Opercular,-0.0,0.01
R_25-L_PF,Default,Cingulo-Opercular,-0.0,0.01
L_47s-L_MI,Default,Cingulo-Opercular,0.0,0.0
R_47s-L_p32pr,Default,Cingulo-Opercular,-0.0,0.0
L_PGi-L_FOP5,Default,Cingulo-Opercular,-0.0,0.0
R_47m-L_p24pr,Default,Cingulo-Opercular,-0.0,0.01
R_a24-L_a24pr,Default,Cingulo-Opercular,-0.0,0.0
R_47s-R_FOP5,Default,Cingulo-Opercular,0.0,0.0
L_H-L_PF,Default,Cingulo-Opercular,-0.0,0.0
R_25-L_43,Default,Cingulo-Opercular,0.0,0.0
L_H-L_PFop,Default,Cingulo-Opercular,-0.0,0.0
L_TGd-L_PF,Default,Cingulo-Opercular,0.0,0.0
R_8Ad-L_p32pr,Default,Cingulo-Opercular,-0.0,0.0
R_TE1a-R_PFop,Default,Cingulo-Opercular,0.0,0.0
L_47l-L_PFop,Default,Cingulo-Opercular,0.0,0.0
R_7m-L_a24pr,Default,Cingulo-Opercular,0.0,0.0
R_STSda-L_FOP5,Default,Cingulo-Opercular,-0.0,0.0
L_47s-L_FOP5,Default,Cingulo-Opercular,0.0,0.0
R_TGd-L_p24pr,Default,Cingulo-Opercular,-0.0,0.0
L_47s-L_PF,Default,Cingulo-Opercular,0.0,0.0
R_47m-L_PFop,Default,Cingulo-Opercular,0.0,0.0
L_v23ab-L_p32pr,Default,Cingulo-Opercular,0.0,0.0
L_POS1-L_p32pr,Default,Cingulo-Opercular,0.0,0.0
R_47s-R_PFcm,Default,Cingulo-Opercular,-0.0,0.0
R_STSda-L_p32pr,Default,Cingulo-Opercular,-0.0,0.0
R_47m-L_PF,Default,Cingulo-Opercular,0.0,0.0
R_a24-L_p24pr,Default,Cingulo-Opercular,0.0,0.0
R_10r-L_p32pr,Default,Cingulo-Opercular,-0.0,0.0
R_47m-L_p32pr,Default,Cingulo-Opercular,-0.0,0.0
R_STSda-L_MI,Default,Cingulo-Opercular,-0.0,0.0
L_s32-L_FOP5,Default,Cingulo-Opercular,-0.0,0.0
L_47m-L_FOP5,Default,Cingulo-Opercular,0.0,0.0
R_10r-L_PFop,Default,Cingulo-Opercular,-0.0,0.0
L_7m-L_a24pr,Default,Cingulo-Opercular,0.0,0.0
R_TE1a-L_FOP5,Default,Cingulo-Opercular,-0.0,0.0
L_7m-L_p32pr,Default,Cingulo-Opercular,0.0,0.0
R_p32-R_46,Default,Cingulo-Opercular,-0.0,0.0
R_9a-R_FOP5,Default,Cingulo-Opercular,-0.0,0.0
R_STSva-L_PFop,Default,Cingulo-Opercular,-0.0,0.0
R_47s-R_PoI2,Default,Cingulo-Opercular,0.0,0.0
L_47m-L_MI,Default,Cingulo-Opercular,0.0,0.0
R_TGd-L_33pr,Default,Cingulo-Opercular,-0.0,0.0
R_p32-L_p32pr,Default,Cingulo-Opercular,-0.0,0.0
L_s32-L_a32pr,Default,Cingulo-Opercular,-0.0,0.0
L_47m-L_PFcm,Default,Cingulo-Opercular,0.0,0.0
R_TGd-L_PF,Default,Cingulo-Opercular,0.0,0.0
R_47m-R_MI,Default,Cingulo-Opercular,-0.0,0.0
R_8Av-L_p32pr,Default,Cingulo-Opercular,0.0,0.0
R_TGd-L_PFop,Default,Cingulo-Opercular,-0.0,0.0
L_v23ab-L_43,Default,Cingulo-Opercular,0.0,0.0
R_47m-L_43,Default,Cingulo-Opercular,-0.0,0.0
L_TE1a-L_a32pr,Default,Cingulo-Opercular,-0.0,0.0
R_47s-L_a24pr,Default,Cingulo-Opercular,-0.0,0.0
L_47s-L_FOP1,Default,Cingulo-Opercular,0.0,0.0
R_47l-R_PFop,Default,Cingulo-Opercular,0.0,0.0
R_7m-L_p24pr,Default,Cingulo-Opercular,0.0,0.0
R_47m-L_33pr,Default,Cingulo-Opercular,0.0,0.0
R_a24-L_p32pr,Default,Cingulo-Opercular,-0.0,0.0
R_POS1-L_a24pr,Default,Cingulo-Opercular,0.0,0.0
L_TE1a-L_FOP5,Default,Cingulo-Opercular,0.0,0.0
R_10r-L_p24pr,Default,Cingulo-Opercular,0.0,0.0
L_9p-L_a32pr,Default,Cingulo-Opercular,-0.0,0.0
R_47s-R_PFop,Default,Cingulo-Opercular,0.0,0.0
R_8BL-L_p32pr,Default,Cingulo-Opercular,-0.0,0.0
L_POS1-L_p24pr,Default,Cingulo-Opercular,-0.0,0.0
R_10r-R_PFop,Default,Cingulo-Opercular,0.0,0.0
R_a24-R_PFop,Default,Cingulo-Opercular,0.0,0.0
R_POS1-L_p24pr,Default,Cingulo-Opercular,-0.0,0.0
R_47l-L_33pr,Default,Cingulo-Opercular,0.0,0.0
R_8BL-L_a32pr,Default,Cingulo-Opercular,-0.0,0.0
R_47s-L_p24pr,Default,Cingulo-Opercular,-0.0,0.01
R_p32-L_p24pr,Default,Cingulo-Opercular,0.0,0.0
R_25-L_PFop,Default,Cingulo-Opercular,-0.0,0.0
L_47s-L_FOP3,Default,Cingulo-Opercular,0.0,0.0
R_47l-L_p32pr,Default,Cingulo-Opercular,-0.0,0.0
R_PGi-R_PI,Default,Cingulo-Opercular,-0.0,0.01
L_31pv-L_a24pr,Default,Cingulo-Opercular,0.0,0.0
R_47s-L_PFop,Default,Cingulo-Opercular,0.0,0.0
R_8BL-L_a24pr,Default,Cingulo-Opercular,-0.0,0.0
R_TGd-R_PFop,Default,Cingulo-Opercular,0.0,0.0
R_10r-L_a24pr,Default,Cingulo-Opercular,-0.0,0.0
R_PGi-R_FOP5,Default,Cingulo-Opercular,-0.0,0.01
R_8Ad-R_FOP5,Default,Cingulo-Opercular,-0.0,0.0
L_TE1a-L_PFop,Default,Cingulo-Opercular,0.0,0.01
L_7m-L_p24pr,Default,Cingulo-Opercular,-0.0,0.0
R_47m-L_a24pr,Default,Cingulo-Opercular,-0.0,0.0
R_POS1-L_p32pr,Default,Cingulo-Opercular,0.0,0.0
R_p32-L_a24pr,Default,Cingulo-Opercular,-0.0,0.0
R_v23ab-L_a32pr,Default,Cingulo-Opercular,0.0,0.0
R_v23ab-L_a24pr,Default,Cingulo-Opercular,0.0,0.0
L_47s-L_FOP4,Default,Cingulo-Opercular,-0.0,0.01
R_9m-L_a24pr,Default,Cingulo-Opercular,-0.0,0.0
L_47m-L_PF,Default,Cingulo-Opercular,0.0,0.0
R_TGd-L_PFcm,Default,Cingulo-Opercular,0.0,0.0
L_7m-L_33pr,Default,Cingulo-Opercular,0.0,0.0
R_25-R_FOP5,Default,Cingulo-Opercular,0.0,0.0
R_p32-R_PFop,Default,Cingulo-Opercular,-0.0,0.0
R_9m-L_p32pr,Default,Cingulo-Opercular,-0.0,0.0
R_47s-L_33pr,Default,Cingulo-Opercular,0.0,0.01
L_POS1-L_a32pr,Default,Cingulo-Opercular,0.0,0.0
R_47l-L_a24pr,Default,Cingulo-Opercular,-0.0,0.0
L_31pv-L_PGi,Default,Default,0.12,0.1
R_10v-L_10pp,Default,Default,0.11,0.15
R_s32-L_POS1,Default,Default,0.09,0.15
R_9p-L_s32,Default,Default,-0.08,0.08
L_PHA2-L_s32,Default,Default,0.07,0.13
R_25-L_H,Default,Default,-0.07,0.08
R_10v-L_s32,Default,Default,0.06,0.08
R_TE1a-L_POS1,Default,Default,-0.06,0.1
L_H-L_s32,Default,Default,0.05,0.05
R_10v-L_10d,Default,Default,0.05,0.05
L_31pv-L_s32,Default,Default,-0.05,0.05
L_31pd-L_s32,Default,Default,-0.04,0.07
R_TE2a-L_TE2a,Default,Default,0.03,0.08
L_47s-L_H,Default,Default,-0.03,0.03
L_47s-L_PHA2,Default,Default,-0.03,0.04
R_TE1a-L_31pd,Default,Default,-0.03,0.05
L_47s-L_STSva,Default,Default,0.03,0.03
R_25-L_PHA2,Default,Default,-0.03,0.05
R_s32-L_25,Default,Default,-0.03,0.05
R_10pp-R_s32,Default,Default,-0.03,0.03
R_STSda-L_47s,Default,Default,-0.03,0.05
R_p32-R_9a,Default,Default,-0.03,0.06
R_a24-R_9a,Default,Default,-0.03,0.05
L_47s-L_s32,Default,Default,-0.03,0.07
L_47s-L_25,Default,Default,-0.03,0.06
R_STSda-L_47m,Default,Default,-0.02,0.04
L_23d-L_TE2a,Default,Default,-0.02,0.02
L_H-L_25,Default,Default,0.02,0.03
R_10v-R_s32,Default,Default,-0.02,0.02
R_STSda-L_TGd,Default,Default,-0.02,0.02
R_TE1a-L_31pv,Default,Default,-0.02,0.02
R_EC-L_47m,Default,Default,-0.02,0.04
R_TE1a-R_STSva,Default,Default,0.02,0.03
L_PreS-L_H,Default,Default,-0.02,0.03
L_TGd-L_31pd,Default,Default,0.02,0.02
R_EC-L_25,Default,Default,-0.02,0.05
L_9p-L_TE1m,Default,Default,0.02,0.02
L_47s-L_STSvp,Default,Default,0.02,0.04
L_47m-L_47s,Default,Default,0.02,0.03
R_47s-R_TE1a,Default,Default,0.02,0.03
L_OFC-L_H,Default,Default,0.02,0.03
R_STSda-L_TE1a,Default,Default,-0.02,0.03
L_TGd-L_s32,Default,Default,-0.02,0.02
L_s32-L_STSva,Default,Default,-0.02,0.02
L_7m-L_25,Default,Default,-0.02,0.03
R_STSda-R_STSvp,Default,Default,0.01,0.02
R_47s-R_TGd,Default,Default,0.01,0.03
R_TGd-L_s32,Default,Default,0.01,0.02
R_STSda-L_47l,Default,Default,-0.01,0.02
R_TGd-R_s32,Default,Default,-0.01,0.02
R_25-L_TE1a,Default,Default,0.01,0.02
R_s32-L_47l,Default,Default,0.01,0.01
R_p32-L_10v,Default,Default,0.01,0.01
L_EC-L_PGi,Default,Default,0.01,0.01
R_STSvp-L_47m,Default,Default,-0.01,0.02
L_9p-L_47s,Default,Default,-0.01,0.01
R_9p-R_47s,Default,Default,-0.01,0.02
R_47m-R_PGi,Default,Default,-0.01,0.02
R_STSvp-R_PGi,Default,Default,0.01,0.01
R_a24-L_10v,Default,Default,0.01,0.01
R_a24-R_TE1a,Default,Default,0.01,0.02
L_TE1a-L_TE1m,Default,Default,-0.01,0.02
R_47l-L_TE1m,Default,Default,0.01,0.01
R_47s-R_STSda,Default,Default,0.01,0.01
R_47s-R_STSvp,Default,Default,0.01,0.01
R_9p-R_TGd,Default,Default,-0.01,0.01
R_47s-R_PGi,Default,Default,-0.01,0.01
R_STSda-R_s32,Default,Default,-0.01,0.01
R_p32-L_s32,Default,Default,0.01,0.01
R_p32-R_PGi,Default,Default,-0.01,0.02
L_47m-L_47l,Default,Default,0.01,0.01
R_47m-R_s32,Default,Default,-0.01,0.01
R_47l-R_STSvp,Default,Default,0.01,0.02
L_25-L_s32,Default,Default,0.01,0.01
R_47s-L_H,Default,Default,0.01,0.01
R_EC-L_s32,Default,Default,0.01,0.01
R_9p-R_47l,Default,Default,-0.01,0.01
L_TGd-L_PGi,Default,Default,0.01,0.01
L_7m-L_PHA2,Default,Default,0.01,0.02
R_47s-L_s32,Default,Default,0.01,0.01
R_47l-R_PGi,Default,Default,-0.01,0.01
R_47l-R_TE1a,Default,Default,0.01,0.02
R_25-L_s32,Default,Default,-0.01,0.01
R_10v-L_10v,Default,Default,0.01,0.01
R_10v-L_PGi,Default,Default,-0.01,0.01
L_10d-L_47s,Default,Default,-0.01,0.01
L_7m-L_47s,Default,Default,0.01,0.01
R_47l-R_s32,Default,Default,-0.01,0.01
R_STSda-R_25,Default,Default,-0.01,0.01
R_TGd-L_TE1m,Default,Default,0.01,0.01
L_PGi-L_TE1m,Default,Default,-0.0,0.01
L_9a-L_47s,Default,Default,-0.0,0.01
L_47s-L_TGd,Default,Default,0.0,0.01
R_PGi-L_47m,Default,Default,-0.0,0.01
R_STSvp-L_TGd,Default,Default,-0.0,0.01
R_47s-L_PGi,Default,Default,-0.0,0.01
L_47s-L_PGi,Default,Default,0.0,0.01
R_EC-L_7m,Default,Default,-0.0,0.01
R_STSvp-L_47s,Default,Default,-0.0,0.01
R_25-L_10d,Default,Default,-0.0,0.01
R_47s-R_s32,Default,Default,-0.0,0.01
R_PGi-R_25,Default,Default,-0.0,0.01
R_s32-L_TGd,Default,Default,0.0,0.01
L_47s-L_31pd,Default,Default,0.0,0.01
R_PGi-L_7m,Default,Default,0.0,0.01
L_25-L_STSva,Default,Default,-0.0,0.01
R_47l-L_H,Default,Default,0.0,0.01
L_47l-L_s32,Default,Default,-0.0,0.01
R_TE1a-L_25,Default,Default,0.0,0.01
R_a24-R_9p,Default,Default,-0.0,0.01
L_47l-L_47s,Default,Default,0.0,0.01
R_47l-L_s32,Default,Default,0.0,0.01
R_47m-L_H,Default,Default,0.0,0.01
R_PGi-L_31pd,Default,Default,0.0,0.01
R_PGi-L_TE1a,Default,Default,-0.0,0.01
R_47l-R_47s,Default,Default,0.0,0.01
R_STSvp-L_s32,Default,Default,0.0,0.01
R_TGd-L_PHA2,Default,Default,0.0,0.01
R_47l-L_25,Default,Default,0.0,0.01
R_EC-L_PGi,Default,Default,0.0,0.01
R_STSda-L_s32,Default,Default,0.0,0.0
R_10r-R_TE1a,Default,Default,0.0,0.01
R_s32-L_v23ab,Default,Default,0.0,0.01
R_47m-R_STSvp,Default,Default,0.0,0.01
R_p32-R_9p,Default,Default,-0.0,0.01
L_p32-L_s32,Default,Default,-0.0,0.0
R_PGi-L_47l,Default,Default,-0.0,0.0
R_TGd-L_25,Default,Default,0.0,0.02
L_47m-L_EC,Default,Default,-0.0,0.01
R_s32-L_7m,Default,Default,0.0,0.0
R_47m-L_47s,Default,Default,0.0,0.01
R_PGi-L_25,Default,Default,0.0,0.0
R_TE1a-L_s32,Default,Default,0.0,0.0
L_PGi-L_25,Default,Default,-0.0,0.0
R_TE1a-R_25,Default,Default,-0.0,0.0
R_TGd-L_47m,Default,Default,-0.0,0.0
R_STSda-R_TE1a,Default,Default,0.0,0.0
L_47m-L_s32,Default,Default,-0.0,0.01
R_10r-R_s32,Default,Default,-0.0,0.0
L_7m-L_H,Default,Default,-0.0,0.0
R_25-L_OFC,Default,Default,-0.0,0.0
R_TGd-L_47s,Default,Default,-0.0,0.0
R_47m-R_25,Default,Default,0.0,0.0
R_47m-L_47m,Default,Default,0.0,0.01
R_PGi-L_TGd,Default,Default,-0.0,0.0
R_v23ab-R_PGi,Default,Default,-0.0,0.0
L_47m-L_PGi,Default,Default,0.0,0.0
R_PGi-L_47s,Default,Default,-0.0,0.0
R_47l-L_47s,Default,Default,-0.0,0.0
L_47l-L_PGi,Default,Default,-0.0,0.0
R_47s-L_PHA2,Default,Default,0.0,0.0
L_47l-L_PGs,Default,Default,-0.0,0.0
R_25-L_PGi,Default,Default,-0.0,0.0
R_TGd-R_25,Default,Default,-0.0,0.0
R_TE1a-L_47m,Default,Default,0.0,0.0
R_p32-R_s32,Default,Default,-0.0,0.0
R_47m-R_47s,Default,Default,0.0,0.0
R_PGi-L_s32,Default,Default,0.0,0.0
R_EC-L_PGs,Default,Default,-0.0,0.0
R_47s-R_25,Default,Default,-0.0,0.0
R_47s-L_47m,Default,Default,-0.0,0.0
R_47s-L_47l,Default,Default,-0.0,0.0
L_47l-L_25,Default,Default,0.0,0.0
R_47m-R_TE1a,Default,Default,-0.0,0.0
R_TE1a-L_47l,Default,Default,-0.0,0.0
R_8Av-L_PGs,Default,Default,-0.0,0.0
R_a24-R_s32,Default,Default,-0.0,0.0
R_s32-L_8Av,Default,Default,-0.0,0.0
R_25-L_25,Default,Default,-0.0,0.0
R_STSva-L_s32,Default,Default,-0.0,0.0
R_25-L_47m,Default,Default,-0.0,0.01
L_47s-L_TE1a,Default,Default,-0.0,0.0
R_TE1a-L_47s,Default,Default,-0.0,0.0
R_47l-L_TE1a,Default,Default,0.0,0.0
R_47l-R_25,Default,Default,0.0,0.0
R_TGd-L_PGi,Default,Default,0.0,0.0
L_47s-L_PGs,Default,Default,-0.0,0.0
L_47m-L_25,Default,Default,0.0,0.0
L_PGi-L_s32,Default,Default,0.0,0.0
R_47m-L_PGi,Default,Default,-0.0,0.0
L_47l-L_TE1a,Default,Default,-0.0,0.0
R_TGd-R_TE1a,Default,Default,-0.0,0.0
R_s32-L_s32,Default,Default,0.0,0.0
R_POS1-R_PGi,Default,Default,-0.0,0.0
R_47m-L_s32,Default,Default,0.0,0.0
R_TGd-L_PGs,Default,Default,-0.0,0.01
R_PGi-L_POS1,Default,Default,-0.0,0.0
L_TE1a-L_25,Default,Default,0.0,0.0
R_47l-R_STSda,Default,Default,-0.0,0.01
R_TGd-R_PGi,Default,Default,-0.0,0.0
R_47l-L_47m,Default,Default,-0.0,0.0
R_TE1a-L_TGd,Default,Default,-0.0,0.0
R_p32-R_TE1a,Default,Default,0.0,0.0
R_s32-L_31pd,Default,Default,-0.0,0.0
R_s32-L_d23ab,Default,Default,0.0,0.01
R_PGi-L_EC,Default,Default,-0.0,0.0
R_47l-L_PHA2,Default,Default,-0.0,0.0
R_TGd-L_LIPd,Default,Dorsal_Attention,0.08,0.09
R_47m-L_LIPd,Default,Dorsal_Attention,0.03,0.04
